;name;salary_from;salary_to;currency;experience;schedule;schedule;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
502;Data Scientist / Аналитик данных / Data Analyst;250000.0;;KZT;Нет опыта;Полный день;Полный день;Data Analysis;SQL;Pandas;Python;ML;Machine Learning;Numpy;XGBoost;Машинное обучение;MS SQL;Математическая статистика;ООП;Scikit-learn;Алгоритмы;Удаленная работа;Анализ поведения пользователей;Алгоритмы и структуры данных;Работа в условиях многозадачности;Statistics;Основы SQL;Базовые знания SQL;Data Science;Data Mining;R Studio;Matplotlib;Mathematical Statistics;sklearn;Test case;;
505;Инженер-программист;60000.0;80000.0;RUR;Нет опыта;Полный день;Полный день;JavaScript;Python;C++;Lua;;;;;;;;;;;;;;;;;;;;;;;;;;
507;Младший аналитик в EdTech-стартап TutGood;;70000.0;RUR;Нет опыта;Удаленная работа;Удаленная работа;Python;SQL;Английский язык;Аналитическое мышление;Pandas;ETL;;;;;;;;;;;;;;;;;;;;;;;;
516;Data Scientist / Аналитик данных / Data Analyst;250000.0;;KZT;Нет опыта;Полный день;Полный день;Data Analysis;SQL;Pandas;Python;ML;Machine Learning;Numpy;XGBoost;Машинное обучение;MS SQL;Математическая статистика;ООП;Scikit-learn;Алгоритмы;Удаленная работа;Анализ поведения пользователей;Алгоритмы и структуры данных;Работа в условиях многозадачности;Statistics;Основы SQL;Базовые знания SQL;Data Science;Data Mining;R Studio;Matplotlib;Mathematical Statistics;sklearn;Test case;;
527;Разработчик;;25000.0;RUR;Нет опыта;Удаленная работа;Удаленная работа;JavaScript;CSS;Python;PHP;Веб-программирование;Парсинг;Удаленная работа;HTML/CSS;HTML;Java Script;Генерация идей;;;;;;;;;;;;;;;;;;;
557;Senior Python разработчик;300000.0;;RUR;Нет опыта;Полный день;Полный день;Python;Django Framework;PostgreSQL;Linux;Django Rest Framework;;;;;;;;;;;;;;;;;;;;;;;;;
566;Стажер Data Scientist;;;;Нет опыта;Полный день;Полный день;SQL;Python;Машинное обучение;ML;;;;;;;;;;;;;;;;;;;;;;;;;;
577;Стажер подразделения ИТ (ЕИСЖС/ ML-инженер);;;;Нет опыта;Полный день;Полный день;Python;SQL;;;;;;;;;;;;;;;;;;;;;;;;;;;;
585;Python developer (Middle/Middle+);;;;Нет опыта;Полный день;Полный день;Python;PostgreSQL;Django Framework;Docker;aiohttp;Redis;RabbitMQ;Rest API;;;;;;;;;;;;;;;;;;;;;;
614;Разработчик T-SQL (junior);;;;Нет опыта;Полный день;Полный день;SQL;Python;MS SQL;;;;;;;;;;;;;;;;;;;;;;;;;;;
622;Middle Python developer (команда SberWorks);;;;Нет опыта;Полный день;Полный день;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
625;Преподаватель по Python в Центр непрерывного образования ФКН;;;;Нет опыта;Полный день;Полный день;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
692;Стажер Data Scientist;;;;Нет опыта;Полный день;Полный день;SQL;Python;Машинное обучение;ML;;;;;;;;;;;;;;;;;;;;;;;;;;
704;Your start in IT - QA Automation Training to become an Automation QA Intern;;;;Нет опыта;Удаленная работа;Удаленная работа;Python;Java;Английский язык;Intellij IDEA;PyCharm;;;;;;;;;;;;;;;;;;;;;;;;;
706;Преподаватель робототехники / программирования в детскую IT-школу;30000.0;45000.0;RUR;Нет опыта;Гибкий график;Гибкий график;Python;HTML;C++;Навыки межличностного общения;JavaScript;;;;;;;;;;;;;;;;;;;;;;;;;
715;"Младший специалист проекта ""Цифровизация""";17500.0;70000.0;RUR;Нет опыта;Полный день;Полный день;Python;MS PowerPoint;1С программирование;Выбор подрядных организаций;Проектная работа;;;;;;;;;;;;;;;;;;;;;;;;;
722;Data Scientist / Аналитик данных / Data Analyst;250000.0;;KZT;Нет опыта;Полный день;Полный день;Data Analysis;SQL;Pandas;Python;ML;Machine Learning;Numpy;XGBoost;Машинное обучение;MS SQL;Математическая статистика;ООП;Scikit-learn;Алгоритмы;Удаленная работа;Анализ поведения пользователей;Алгоритмы и структуры данных;Работа в условиях многозадачности;Statistics;Основы SQL;Базовые знания SQL;Data Science;Data Mining;R Studio;Matplotlib;Mathematical Statistics;sklearn;Test case;;
724;Стажер-программист 1С;;;;Нет опыта;Полный день;Полный день;Системное мышление;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
725;Frontend разработчик;250000.0;350000.0;KZT;Нет опыта;Полный день;Полный день;Git;JavaScript;SQL;PostgreSQL;Python;;;;;;;;;;;;;;;;;;;;;;;;;
727;Преподаватель информатики;30000.0;;RUR;Нет опыта;Полный день;Полный день;Грамотная речь;Python;SQL;Работа с документами;;;;;;;;;;;;;;;;;;;;;;;;;;
733;Педагог дополнительного образования технической направленности;20000.0;40000.0;RUR;Нет опыта;Гибкий график;Гибкий график;Пользователь ПК;Работа с людьми;Робототехника;Unity 3D;Python;Arduino;BASIC;Работа с детьми;Педагог;Педагогика;Умение работать с детьми;Internet;;;;;;;;;;;;;;;;;;
734;Junior Developer / младший программист / бэкенд разработчик;;;;Нет опыта;Полный день;Полный день;Linux;Git;Python;Java;Go;;;;;;;;;;;;;;;;;;;;;;;;;
738;Младший аналитик в EdTech-стартап TutGood;;70000.0;RUR;Нет опыта;Удаленная работа;Удаленная работа;Python;SQL;Английский язык;Аналитическое мышление;Pandas;ETL;;;;;;;;;;;;;;;;;;;;;;;;
744;Инженер службы технической поддержки;50000.0;;RUR;Нет опыта;Полный день;Полный день;Linux;Python;PostgreSQL;Java;SQL;Java (WildFly, Tomcat), Jenkins, shell, python nginx, haproxy;;;;;;;;;;;;;;;;;;;;;;;;
746;Инженер-программист (робототехника);50000.0;;RUR;Нет опыта;Полный день;Полный день;Компас-3D;SolidWorks;Python;Автоматизация производства;Java;3D Моделирование;C++;Компас;Автоматизация;Машиностроение;;;;;;;;;;;;;;;;;;;;
